% Model:              1p44GHz_6mm_bore_mo4.mph
% Version:            COMSOL 6.0.0.405
% Date:               Jul 23 2026, 03:02
% Dimension:          2
% Nodes:              400
% Expressions:        2
% Description:        Arrow surface
% r                       z                        Hrad                     Haxi
0.012250000000000002      0.0026250000000000015    -0.045128599474785834    -0.28270591499608894
0.012950000000000003      0.0026250000000000015    -0.025772575717707764    -0.27006238372520425
0.01365                   0.0026250000000000015    -0.008278899233422942    -0.26399979523419204
3.5000000000000005E-4     0.0033750000000000013    -0.05203436923149682     4.765439266580751
0.0010500000000000002     0.0033750000000000013    -0.15739668544653648     4.8380471694057015
0.0017500000000000003     0.0033750000000000013    -0.266489652155482       4.985150810671315
0.0024500000000000004     0.0033750000000000013    -0.3727764024990955      4.530541551243383
0.0031500000000000005     0.0033750000000000013    -0.44567504179274775     3.5399744990408273
0.003850000000000001      0.0033750000000000013    -0.48005430213878947     2.4149779480935285
0.00455                   0.0033750000000000013    -0.4750954543236162      1.2446136258318419
0.005250000000000001      0.0033750000000000013    -0.43316747340036493     0.11722679553945387
0.00595                   0.0033750000000000013    -0.3599782455443941      -0.8852888202113782
0.006650000000000001      0.0033750000000000013    -0.2767817740602414      -0.9110558031246996
0.007350000000000002      0.0033750000000000013    -0.2126458579673095      -0.7453558914921414
0.008050000000000002      0.0033750000000000013    -0.16366564400244216     -0.6190033038654048
0.00875                   0.0033750000000000013    -0.126051521365332       -0.5225047128729139
0.009450000000000002      0.0033750000000000013    -0.09685124222923128     -0.4487987081533104
0.010150000000000001      0.0033750000000000013    -0.07380149722965015     -0.3927286958882147
0.010850000000000002      0.0033750000000000013    -0.055209646723531444    -0.3505741923708399
0.011550000000000001      0.0033750000000000013    -0.03983039350922631     -0.3196648697349565
0.012250000000000002      0.0033750000000000013    -0.026748981539789406    -0.29809617471161687
0.012950000000000003      0.0033750000000000013    -0.015283470309818727    -0.2845240207168554
0.01365                   0.0033750000000000013    -0.004910698311863455    -0.2780268480174744
3.5000000000000005E-4     0.004125000000000001     -0.012019174975962882    4.903281967331415
0.0010500000000000002     0.004125000000000001     -0.036362097535466445    4.9781290621211784
0.0017500000000000003     0.004125000000000001     -0.061599562396138986    5.129542120342753
0.0024500000000000004     0.004125000000000001     -0.08628143848872845     4.661447311562557
0.0031500000000000005     0.004125000000000001     -0.10340247819549578     3.6413900564726154
0.003850000000000001      0.004125000000000001     -0.11180960767193217     2.482716001849367
0.00455                   0.004125000000000001     -0.11127659470359766     1.2774835386648886
0.005250000000000001      0.004125000000000001     -0.10223942178858396     0.11708951307658774
0.00595                   0.004125000000000001     -0.08584595339657897     -0.9138455813098476
0.006650000000000001      0.004125000000000001     -0.06693992945957777     -0.9398574310144182
0.007350000000000002      0.004125000000000001     -0.05234688598354668     -0.7686284241936404
0.008050000000000002      0.004125000000000001     -0.0411042727059257      -0.6377155364416612
0.00875                   0.004125000000000001     -0.03232362476236445     -0.5376132569736765
0.009450000000000002      0.004125000000000001     -0.025344254641682083    -0.4611739761045436
0.010150000000000001      0.004125000000000001     -0.01967683252649154     -0.4030976968164274
